"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2017-08-11",193.910004,194.539993,192.660004,193.020004,2210700,180.989777
"2017-08-14",194.600006,194.75,192.899994,193.710007,2322000,181.636749
"2017-08-15",194.470001,195.009995,193.809998,194.5,1595200,182.377533
"2017-08-16",194.809998,195.270004,192.830002,193.770004,1881600,181.693008
"2017-08-17",193.75,194.240005,192.660004,192.699997,2440900,180.689713
"2017-08-18",192.839996,193.199997,190.630005,190.820007,2858500,178.926895
"2017-08-21",190.880005,192.309998,190.880005,192.029999,1930500,180.061462
"2017-08-22",192.149994,194.960007,191.559998,194.789993,2021900,182.64946
"2017-08-23",194.5,194.589996,193.720001,194.240005,1547000,182.133743
"2017-08-24",194.550003,195.070007,194.210007,194.75,1923700,182.611954
"2017-08-25",195.330002,195.539993,194.139999,194.360001,1375000,182.246231
"2017-08-28",194.589996,195.809998,194.360001,195.089996,2009900,182.930756
"2017-08-29",194.830002,197.039993,194.330002,196.729996,2072200,184.468536
"2017-08-30",196.380005,196.880005,195.199997,195.880005,1506700,183.671494
"2017-08-31",196.929993,199.490005,196.389999,198.899994,2990200,186.50325
"2017-09-01",199.789993,199.990005,198.360001,199.75,2241800,187.300308
"2017-09-05",199.199997,200.440002,198.710007,199.309998,2700800,186.887741
"2017-09-06",199.539993,199.990005,197.630005,198.380005,3040200,186.015671
"2017-09-07",197.770004,199.479996,197.070007,198.169998,2684600,186.523972
"2017-09-08",198.429993,198.860001,197,197.75,2206000,186.128647
"2017-09-11",199.25,200.419998,198.779999,199.580002,3307900,187.851105
"2017-09-12",199.440002,199.470001,196.910004,197.470001,2554700,185.865112
"2017-09-13",197.800003,200.759995,197.779999,198.330002,2394400,186.674561
"2017-09-14",197.949997,198.380005,197.089996,197.729996,2378600,186.109833
"2017-09-15",198.520004,199.710007,197.199997,198.179993,4198700,186.533386
"2017-09-18",198.169998,198.820007,197.509995,198.190002,1915200,186.542755
"2017-09-19",198.440002,198.600006,192.389999,194.649994,3819000,183.210846
"2017-09-20",195.020004,195.839996,194.059998,195.75,2788500,184.24617
"2017-09-21",195.630005,196.130005,194.899994,195.210007,1895000,183.7379
"2017-09-22",195.110001,195.869995,188.25,193.029999,5660200,181.68602
"2017-09-25",193.270004,196.309998,190.919998,191.75,3105900,180.481232
"2017-09-26",192.309998,194.360001,192.039993,192.699997,2775400,181.375427
"2017-09-27",193.199997,195.619995,191.740005,194.490005,3267200,183.060226
"2017-09-28",194.25,196.550003,193.509995,196.100006,2088400,184.575653
"2017-09-29",195.820007,196.089996,194.479996,195.850006,2646300,184.340302
"2017-10-02",196.589996,197.910004,196.330002,197.440002,2893600,185.836853
"2017-10-03",197.5,199.440002,197.259995,198.630005,2533800,186.956924
"2017-10-04",199.029999,200.729996,198.429993,200.479996,2286400,188.698212
"2017-10-05",199.929993,199.929993,196.559998,197.899994,4069000,186.269791
"2017-10-06",197.899994,199.990005,197.509995,198.059998,3361900,186.420395
"2017-10-09",198.009995,198.320007,195.779999,196.300003,3365400,184.76384
"2017-10-10",196.259995,196.429993,193.669998,194.679993,2499100,183.239044
"2017-10-11",194.630005,196.070007,193.589996,195.259995,2935600,183.784958
"2017-10-12",195.009995,195.360001,192.729996,192.919998,2954700,181.582504
"2017-10-13",189.589996,192.710007,186,192.520004,5435000,181.205978
"2017-10-16",192.479996,193.320007,191.360001,193.199997,2927400,181.846039
"2017-10-17",196.800003,206.619995,196.369995,203.889999,8949700,191.907791
"2017-10-18",203.800003,207.800003,203.679993,205.229996,4796300,193.169067
"2017-10-19",205.470001,205.75,202.699997,203.25,3471800,191.305405
"2017-10-20",204.259995,208.210007,203.690002,207.490005,5138800,195.296249
"2017-10-23",207.580002,208.449997,205.800003,207.009995,2261400,194.844421
"2017-10-24",206.380005,208.229996,205.880005,208.149994,3459900,195.917435
"2017-10-25",208.320007,209.139999,207.070007,207.559998,2908300,195.362137
"2017-10-26",207.919998,211.699997,207.580002,209.149994,4346000,196.858673
"2017-10-27",209.149994,212.770004,208.550003,212.600006,4385300,200.105911
"2017-10-30",212.210007,212.770004,209.380005,209.389999,2477400,197.084579
"2017-10-31",209.389999,210.520004,207.800003,210.220001,3749600,197.865799
"2017-11-01",211.619995,212.630005,208.919998,209.529999,1902900,197.216354
"2017-11-02",210.110001,211.490005,209.009995,211.100006,2825900,198.694092
"2017-11-03",210.720001,213.830002,210.100006,212.869995,2196900,200.360046
"2017-11-06",211.910004,213.929993,211.800003,212.119995,2293700,199.654129
"2017-11-07",212.740005,213.539993,210.889999,212.699997,1845800,200.200089
"2017-11-08",212.080002,212.929993,210.699997,210.770004,2261100,198.383469
"2017-11-09",210.589996,211.759995,209.130005,211.559998,1839700,199.127045
"2017-11-10",211.460007,211.809998,210.199997,211.070007,1384700,198.665848
"2017-11-13",210.309998,213.539993,209.940002,212.660004,2662200,200.162415
"2017-11-14",212.210007,212.699997,210.919998,211.710007,1993900,199.268265
